main_scene,n_clusters,total_size,total_likes,avg_meme_qual,avg_scene_sim,episode,scene_num,top_clusters
ep56-894,25,1375,152513,0.5630829140309713,0.6342102575302124,ep56,894,C59(32394) / C50(16434) / C57(15770)
ep76-1182,28,1204,67017,0.39896212461479275,0.4648187373365675,ep76,1182,C84(9901) / C78(9795) / C8(9589)
ep76-1179,14,562,51669,0.49570406990820454,0.569853812456131,ep76,1179,C73(10469) / C42(9699) / C40(7952)
ep76-1178,2,126,23134,0.701639430565241,0.6298925280570984,ep76,1178,C5(16567) / C6(6567)
ep56-891,1,166,15929,0.5990370423411489,0.631589412689209,ep56,891,C1(15929)
ep56-899,2,68,15374,0.6341519971199387,0.6525737643241882,ep56,899,C3(8581) / C69(6793)
ep63-1002,2,91,14597,0.6666754227499269,0.6406893730163574,ep63,1002,C29(7309) / C28(7288)
ep56-897,4,150,12721,0.5432817910954297,0.5281743407249451,ep56,897,C37(5952) / C16(3586) / C2(2910)
ep76-1187,2,78,6728,0.5983604944836373,0.6726531386375427,ep76,1187,C33(4828) / C32(1900)
ep63-1000,1,34,4830,0.6870760061527271,0.6486791968345642,ep63,1000,C18(4830)
ep56-898,1,32,3462,0.614797916524439,0.7498260736465454,ep56,898,C7(3462)
ep56-896,2,66,3441,0.506216621766137,0.49964824318885803,ep56,896,C12(3146) / C13(295)
ep76-1184,1,38,2439,0.45724871470020423,0.6564610004425049,ep76,1184,C48(2439)
ep63-996,1,44,1557,0.582489363819499,0.5770964622497559,ep63,996,C15(1557)
